Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\CDS.Markdown.csproj,,,,,,,,Current target framework: net8.0-windows;net6.0-windows;net48 Recommended target framework: net8.0-windows;net6.0-windows;net48;net10.0--windows;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\Properties\Resources.Designer.cs,106,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""right-arrow"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\Properties\Resources.Designer.cs,105,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap right_arrow
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\Properties\Resources.Designer.cs,96,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""left-arrow"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\Properties\Resources.Designer.cs,95,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap left_arrow
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\Properties\Resources.Designer.cs,86,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""left-align"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\Properties\Resources.Designer.cs,85,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap left_align
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\Properties\Resources.Designer.cs,76,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""home-button-2"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\Properties\Resources.Designer.cs,75,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap home_button_2
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CDS.Markdown\CDS.Markdown.csproj,File,CDS.Markdown\Properties\Resources.Designer.cs,66,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""home-button"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
